model,domain,family,variant,endpoint,estimate,ci95,p_two_sided_plus_one,relative_ppl_change
llama8b,wiki,ranking,strongest,group_only_vs_baseline,-0.003217521517080103,"[-0.0048176440834663, -0.0016145586244864123]",0.00019998000199980003,-0.0032123508417965948
llama8b,wiki,ranking,strongest,full_context_marginal,-0.001766521754247106,"[-0.0031095351403440125, -0.0004262887581373172]",0.011198880111988802,-0.0017649623730550813
llama8b,wiki,ranking,weakest,group_only_vs_baseline,0.0003085647955135515,"[-0.0010650533105203207, 0.0017086986454697682]",0.670932906709329,0.0003086124065269683
llama8b,wiki,ranking,weakest,full_context_marginal,-0.00038774870448665937,"[-0.001614633173255265, 0.0008426708763726867]",0.5413458654134586,-0.00038767353967307744
llama8b,wiki,ranking,random,group_only_vs_baseline,-0.000626690033660324,"[-0.001962330048129645, 0.0008157714441224108]",0.37166283371662834,-0.0006264937044758356
llama8b,wiki,ranking,random,full_context_marginal,-0.0018359158043812587,"[-0.0030780767370508404, -0.0006102409200071848]",0.0032996700329967,-0.0018342315418399503
llama8b,wiki,veto,kl_vetoed_ce_approved,actual_vs_full,-0.00022446183269780152,"[-0.0015969468493346093, 0.0011553260646442799]",0.7566243375662434,-0.00022443664302537443
llama8b,wiki,veto,kl_vetoed_ce_approved,actual_vs_random,-0.0014680950425234218,"[-0.003001491669261258, 3.251071860170847e-05]",0.059194080591940805,-0.001467017918167937
llama8b,wiki,veto,ce_vetoed_kl_approved,actual_vs_full,0.00023570991304741566,"[-0.0012026585660114678, 0.001625470178718162]",0.7426257374262574,0.0002357376948117396
llama8b,wiki,veto,ce_vetoed_kl_approved,actual_vs_random,0.0008925947840135353,"[-0.00029566275937820276, 0.0020850128647311437]",0.14108589141085892,0.0008929932652897095
llama8b,wiki,interaction,attention_mlp,actual_residual,0.001275505084883604,"[-0.0002687213507363081, 0.0029434661215443528]",0.11528847115288471,0.0012763188874607139
llama8b,wiki,interaction,attention_mlp,matched_random_residual,-0.0017095857729241364,"[-0.003565498195931252, 0.00018626033289938525]",0.072992700729927,-0.0017081252635738717
llama8b,wiki,interaction,attention_mlp,actual_minus_matched_random,0.0029850908578077403,"[0.0006922283599456524, 0.005271000681531522]",0.011698830116988301,0.002989550678074539
