run,model,policy,corpus,window,delta_nll,tokens_equal,weights_equal,absolute_tolerance,passed,reference,reference_sha256,new_report_sha256
pilot_llama_attempt1,llama8b,four_over_six,wiki,0,0.02339211952457365,True,True,1e-10,False,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V31_ppl_primary_llama8b_attempt1/ppl/ppl_report.json,8271ae214b17f2d54e549d842c91dc2f682d977111e07edc9cbd8ecc0f718b9c,b42edfc85e0c484d0ccaa791b8fb1807412c43a28376892b5b0b392dd584a8f0
pilot_llama_attempt1,llama8b,four_over_six,wiki,1,0.015469658566902744,True,True,1e-10,False,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V31_ppl_primary_llama8b_attempt1/ppl/ppl_report.json,8271ae214b17f2d54e549d842c91dc2f682d977111e07edc9cbd8ecc0f718b9c,b42edfc85e0c484d0ccaa791b8fb1807412c43a28376892b5b0b392dd584a8f0
pilot_llama_attempt1,llama8b,four_over_six,c4,0,0.018575098049991245,True,True,1e-10,False,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V31_ppl_primary_llama8b_attempt1/ppl/ppl_report.json,8271ae214b17f2d54e549d842c91dc2f682d977111e07edc9cbd8ecc0f718b9c,b42edfc85e0c484d0ccaa791b8fb1807412c43a28376892b5b0b392dd584a8f0
pilot_llama_attempt1,llama8b,four_over_six,c4,1,-0.01429229736167592,True,True,1e-10,False,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V31_ppl_primary_llama8b_attempt1/ppl/ppl_report.json,8271ae214b17f2d54e549d842c91dc2f682d977111e07edc9cbd8ecc0f718b9c,b42edfc85e0c484d0ccaa791b8fb1807412c43a28376892b5b0b392dd584a8f0
pilot_llama_attempt1,llama8b,n16_k3,wiki,0,-0.016206873278041156,True,True,1e-10,False,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V31_ppl_primary_llama8b_attempt1/ppl/ppl_report.json,8271ae214b17f2d54e549d842c91dc2f682d977111e07edc9cbd8ecc0f718b9c,b42edfc85e0c484d0ccaa791b8fb1807412c43a28376892b5b0b392dd584a8f0
pilot_llama_attempt1,llama8b,n16_k3,wiki,1,0.0024931998242272435,True,True,1e-10,False,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V31_ppl_primary_llama8b_attempt1/ppl/ppl_report.json,8271ae214b17f2d54e549d842c91dc2f682d977111e07edc9cbd8ecc0f718b9c,b42edfc85e0c484d0ccaa791b8fb1807412c43a28376892b5b0b392dd584a8f0
pilot_llama_attempt1,llama8b,n16_k3,c4,0,0.013952194830915587,True,True,1e-10,False,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V31_ppl_primary_llama8b_attempt1/ppl/ppl_report.json,8271ae214b17f2d54e549d842c91dc2f682d977111e07edc9cbd8ecc0f718b9c,b42edfc85e0c484d0ccaa791b8fb1807412c43a28376892b5b0b392dd584a8f0
pilot_llama_attempt1,llama8b,n16_k3,c4,1,-0.004399219565094814,True,True,1e-10,False,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V31_ppl_primary_llama8b_attempt1/ppl/ppl_report.json,8271ae214b17f2d54e549d842c91dc2f682d977111e07edc9cbd8ecc0f718b9c,b42edfc85e0c484d0ccaa791b8fb1807412c43a28376892b5b0b392dd584a8f0
pilot_llama_attempt2,llama8b,four_over_six,wiki,0,0.02339211952457365,True,True,1e-10,False,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V31_ppl_primary_llama8b_attempt1/ppl/ppl_report.json,8271ae214b17f2d54e549d842c91dc2f682d977111e07edc9cbd8ecc0f718b9c,69170825c3842da7b8f6822cefc5c12e7a5caf76a3527ab68e00d14fb562dac3
pilot_llama_attempt2,llama8b,four_over_six,wiki,1,0.015469658566902744,True,True,1e-10,False,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V31_ppl_primary_llama8b_attempt1/ppl/ppl_report.json,8271ae214b17f2d54e549d842c91dc2f682d977111e07edc9cbd8ecc0f718b9c,69170825c3842da7b8f6822cefc5c12e7a5caf76a3527ab68e00d14fb562dac3
pilot_llama_attempt2,llama8b,four_over_six,c4,0,0.018575098049991245,True,True,1e-10,False,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V31_ppl_primary_llama8b_attempt1/ppl/ppl_report.json,8271ae214b17f2d54e549d842c91dc2f682d977111e07edc9cbd8ecc0f718b9c,69170825c3842da7b8f6822cefc5c12e7a5caf76a3527ab68e00d14fb562dac3
pilot_llama_attempt2,llama8b,four_over_six,c4,1,-0.01429229736167592,True,True,1e-10,False,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V31_ppl_primary_llama8b_attempt1/ppl/ppl_report.json,8271ae214b17f2d54e549d842c91dc2f682d977111e07edc9cbd8ecc0f718b9c,69170825c3842da7b8f6822cefc5c12e7a5caf76a3527ab68e00d14fb562dac3
pilot_llama_attempt2,llama8b,n16_k3,wiki,0,-0.016206873278041156,True,True,1e-10,False,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V31_ppl_primary_llama8b_attempt1/ppl/ppl_report.json,8271ae214b17f2d54e549d842c91dc2f682d977111e07edc9cbd8ecc0f718b9c,69170825c3842da7b8f6822cefc5c12e7a5caf76a3527ab68e00d14fb562dac3
